Sección;Código;Descripción;PVR;PVP;Promoción
Páginas 084-085;47801101/142;Esmalte Millanel x 11 ml;3120,00;3899,99;
Páginas 084-085;47802102/122;Esmalte en gel x 11 ml;3040,00;3799,99;
Páginas 084-085;47803001;Top Coat para uñas en gel;3840,00;4799,99;
Páginas 086-087;47554001;Maquillaje oculta manchas Nº1 Claro;5600,00;6999,99;
Páginas 086-087;47554002;Maquillaje oculta manchas Nº2 Medio;5600,00;6999,99;
Páginas 086-087;47555604;Iluminador cremoso Millanel x 14grs Iridiscente;5600,00;6999,99;
Páginas 086-087;47555606;Iluminador cremoso Millanel x 14grs Gold;5600,00;6999,99;
Páginas 086-087;47750003;Corrector Natural x 4 g;5200,00;6499,99;
Páginas 086-087;47750004;Corrector Beige x 4 g;5200,00;6499,99;
Páginas 086-087;47762001;Corrector de ojeras roll on Millanel Natural;5200,00;6499,99;
Páginas 086-087;47762002;Corrector de ojeras roll on Millanel Beige;5200,00;6499,99;
Páginas 086-087;47764001;Corrector de ojeras Millanel con aplicador claro;4400,00;5499,99;
Páginas 086-087;47764002;Corrector de ojeras Millanel con aplicador Medio;4400,00;5499,99;
Páginas 086-087;50520148;Pinza de Depilar Cobre;3200,00;3999,99;
Páginas 086-087;50530017;Pincel para corrector Glam;4160,00;5199,99;
Páginas 086-087;47371091;Delineador líquido para cejas millanel marrón claro x 1g;6960,00;8699,99;
Páginas 086-087;47371092;Delineador líquido para cejas millanel marrón oscuro x 1g;6960,00;8699,99;
Páginas 086-087;47475005;Gel para cejas Millanel 3.8g;6400,00;7999,99;
Páginas 086-087;47481001;Serum para crecimiento y fortalecimiento de pestañas y cejas;5600,00;6999,99;
Páginas 088-089;47480001;Spray fijador de Make Up Millanel;2900,00;4399,99;
Páginas 088-089;47510102/4;Rubor compacto Millanel x 5.30 g;6640,00;8299,99;
Páginas 088-089;47541001;Perlas tonalizadoras efecto Bronce;6400,00;7999,99;
Páginas 088-089;47541002;Perlas tonalizadoras efecto Mate;6400,00;7999,99;
Páginas 088-089;47560101;Base líquida para rostro Millanel x 30g. Natural;3500,00;5499,99;
Páginas 088-089;47560102;Base líquida para rostro Millanel x 30g. Beige;3500,00;5499,99;
Páginas 088-089;47561001/3;Base líquida matte Millanel x 30g;6960,00;8699,99;
Páginas 088-089;50530016;Brocha para Rubor Glam;4800,00;5999,99;
Páginas 088-089;47510001/3;Polvo compacto x 9 g.;5600,00;6999,99;
Páginas 090-091;47173001/4;Delineador Líquido Millanel 3 ml;4400,00;5499,99;
Páginas 090-091;47201001/11;Dúo de Sombras Millanel x 2 g;5200,00;6499,99;
Páginas 090-091;47351001;Delineador + sombra para parpados 0.28g;6000,00;7499,99;
Páginas 090-091;47355002;Delineador retractil Millanel;6000,00;7499,99;
Páginas 090-091;47355003;Lápiz delineador con esfumino Millanel;6000,00;7499,99;
Páginas 090-091;50006090;Sacapuntas Azul Doble;2400,00;2999,99;
Páginas 090-091;50530018;Pincel para Sombra Glam;2640,00;3299,99;
Páginas 090-091;47174001/4;Delineador en gel;4000,00;4999,99;
Páginas 092-093;47083301;Arqueador de pestañas;4000,00;4999,99;
Páginas 092-093;47100101/36;Labial Millanel x 4g.;5600,00;6999,99;
Páginas 092-093;47304156/60;Labial lìquido mate intransferible Millanel x 4g;7200,00;8999,99;
Páginas 092-093;47405002;Máscara Millanel negra a prueba de agua x 12g;6800,00;8499,99;
Páginas 092-093;47475003;Máscara p/pest. al agua c/Widelash Millanel x 12g;6800,00;8499,99;
Páginas 092-093;47381004;Paleta de sombras Millanel 6 tonos c/estuche x 10.4 gr;9600,00;11999,99;
Páginas 094-095;47389101;Dúo de Sombras Pro Pigment Eternal x 8.80 g;10000,00;12499,99;
Páginas 094-095;47389102;Duo de sombras Glam to go Eternal x 8.8gr;10000,00;12499,99;
